Independent cross-check of sharp-kernel census 4-colourability (N<=11),
via exhaustive DSATUR backtracking (lib.coloring.chromatic_colorable),
against the recorded SAT witnesses from lib.satcolor.
======================================================================
n=8 idx=0 members=8 edges=16 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=73 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=74 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=75 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=76 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=77 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=78 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=79 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=80 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=81 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=82 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=83 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=84 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=85 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=86 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=87 members=11 edges=25 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=88 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=89 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=90 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=91 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=92 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=93 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=94 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=95 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=96 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=97 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=98 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=99 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=100 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=101 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=102 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=103 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=104 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=105 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=106 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=107 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=108 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=109 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=110 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=111 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=112 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=113 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=114 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=115 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=116 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=117 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=118 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=119 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=120 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=121 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=122 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=123 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=124 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=125 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=126 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=127 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=128 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=129 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=130 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=131 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=132 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=133 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=134 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=135 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=136 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=137 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=138 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=139 members=11 edges=25 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=140 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=141 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=142 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=143 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=144 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=145 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=146 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=147 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=148 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=149 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=150 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=151 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=152 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=153 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=154 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=155 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=156 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=157 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=158 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=159 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=160 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=161 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=162 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=163 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=164 members=11 edges=25 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=165 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=166 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=167 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=168 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=169 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=170 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=171 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=172 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=173 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=174 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=175 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=176 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=177 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=178 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=179 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=180 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=181 members=11 edges=25 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=182 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=183 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=184 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=185 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=186 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=187 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=188 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=189 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=190 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=191 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=192 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=193 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=194 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=195 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=196 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=197 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=198 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=199 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=200 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=201 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=202 members=11 edges=22 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=203 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=204 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=205 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=206 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=207 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=208 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=209 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=210 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=211 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=212 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=213 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=214 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=215 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=216 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=217 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=218 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=219 members=11 edges=23 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=220 members=11 edges=25 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=221 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=222 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=223 members=11 edges=25 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=224 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=225 members=11 edges=24 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=226 members=11 edges=25 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
n=11 idx=227 members=11 edges=25 bt4col=True satWitnessChecks=True -> AGREE(4-colourable)
======================================================================
TOTAL kernel members re-verified: 249
Members both oracles agree 4-colourable: 249
No mismatches: SAT (Cadical153) and exhaustive backtracking
(lib.coloring) independently agree every kernel member up to n=11 is 4-colourable.
(captured to code/out/crosscheck_kernel_n11.captured.txt)
